Unnamed: 0.1,Unnamed: 0,id,latitude,longitude,time,edge,speed,traj_future,angle,time1
0,0,2,1,1,0,B,0.557552154,A,1.0664121,09-11
1,1,2,1,1,120,A,0,A,0,09-11
2,2,2,1,1,241,A,0,A,0,09-11
3,3,2,1,1,361,A,0,A,0,09-11
4,4,2,1,1,482,A,0,A,0,09-11
5,5,2,1,1,602,A,0,A,0,09-11
6,6,2,1,1,723,A,0,A,0,09-11
7,7,2,1,1,843,A,0,A,0,09-11
8,8,2,1,1,964,A,0,A,0,09-11
9,9,2,1,1,1084,A,0,A,0,09-11
10,10,2,1,1,1205,A,0,A,0,09-11
11,11,2,1,1,1325,A,0,A,0,09-11
12,12,2,1,1,1446,A,0,A,0,09-11
13,13,2,1,1,1566,A,0,A,0,09-11
14,14,2,1,1,1687,A,0,A,0,09-11
15,15,2,1,1,1807,A,0.563467392,D,48,09-11
16,16,2,1,1,1928,D,0,D,0,09-11
17,17,2,1,1,2048,D,0,D,0,09-11
18,18,2,1,1,2169,D,0,D,0,09-11
19,19,2,1,1,2289,D,0,D,0,09-11
20,20,2,1,1,2410,D,0,D,0,09-11
21,21,2,1,1,2530,D,0,D,0,09-11
22,22,2,1,1,2651,D,0,D,0,09-11
23,23,2,1,1,2771,D,0,D,0,09-11
24,24,2,1,1,2891,D,0,D,0,09-11
25,25,2,1,1,3012,D,0,D,0,09-11
26,26,2,1,1,3132,D,0,D,0,09-11
27,27,2,1,1,3253,D,0,D,0,09-11
28,28,2,1,1,3373,D,0,D,0,09-11
29,29,2,1,1,3494,D,0,D,0,09-11
30,30,2,1,1,3614,D,0.550872277,B,76,09-11
31,31,2,1,1,3735,B,0,B,0,09-11
32,32,2,1,1,3855,B,0,B,0,09-11
33,33,2,1,1,3976,B,0,B,0,09-11
34,34,2,1,1,4096,B,0,B,0,09-11
35,35,2,1,1,4217,B,0,B,0,09-11
36,36,2,1,1,4337,B,0,B,0,09-11
37,37,2,1,1,4458,B,0,B,0,09-11
38,38,2,1,1,4578,B,0,B,0,09-11
39,39,2,1,1,4699,B,0,B,0,09-11
40,40,2,1,1,4819,B,0,B,0,09-11
41,41,2,1,1,4940,B,0,B,0,09-11
42,42,2,1,1,5060,B,0,B,0,09-11
43,43,2,1,1,5181,B,0,B,0,09-11
44,44,2,1,1,5301,B,0,B,0,09-11
45,45,2,1,1,5422,B,0.995864785,C,193.58527,09-11
46,46,2,1,1,5542,C,0,C,0,09-11
47,47,2,1,1,5663,C,0,C,0,09-11
48,48,2,1,1,5783,C,0,C,0,09-11
49,49,2,1,1,5904,C,0,C,0,09-11
50,50,2,1,1,6024,C,0,C,0,09-11
51,51,2,1,1,6144,C,0,C,0,09-11
52,52,2,1,1,6265,C,0,C,0,09-11
53,53,2,1,1,6385,C,0,C,0,09-11
54,54,2,1,1,6506,C,0,C,0,09-11
55,55,2,1,1,6626,C,0,C,0,09-11
56,56,2,1,1,6747,C,0,C,0,09-11
57,57,2,1,1,6867,C,0,C,0,09-11
58,58,2,1,1,6988,C,0,C,0,09-11
59,59,2,1,1,7108,C,0,C,0,09-11
60,60,2,1,1,7229,C,0.702469306,A,193.58527,11-1
61,61,2,1,1,7349,A,0,A,0,11-1
62,62,2,1,1,7470,A,0,A,0,11-1
63,63,2,1,1,7590,A,0,A,0,11-1
64,64,2,1,1,7711,A,0,A,0,11-1
65,65,2,1,1,7831,A,0,A,0,11-1
66,66,2,1,1,7952,A,0,A,0,11-1
67,67,2,1,1,8072,A,0,A,0,11-1
68,68,2,1,1,8193,A,0,A,0,11-1
69,69,2,1,1,8313,A,0,A,0,11-1
70,70,2,1,1,8433,A,0,A,0,11-1
71,71,2,1,1,8554,A,0,A,0,11-1
72,72,2,1,1,8674,A,0,A,0,11-1
73,73,2,1,1,8795,A,0,A,0,11-1
74,74,2,1,1,8915,A,0,A,0,11-1
75,75,2,1,1,9036,A,1.084614562,C,0,11-1
76,76,2,1,1,9156,C,0,C,0,11-1
77,77,2,1,1,9277,C,0,C,0,11-1
78,78,2,1,1,9397,C,0,C,0,11-1
79,79,2,1,1,9518,C,0,C,0,11-1
80,80,2,1,1,9638,C,0,C,0,11-1
81,81,2,1,1,9759,C,0,C,0,11-1
82,82,2,1,1,9879,C,0,C,0,11-1
83,83,2,1,1,10000,C,0,C,0,11-1
84,84,2,1,1,10120,C,0,C,0,11-1
85,85,2,1,1,10241,C,0,C,0,11-1
86,86,2,1,1,10361,C,0,C,0,11-1
87,87,2,1,1,10482,C,0,C,0,11-1
88,88,2,1,1,10602,C,0,C,0,11-1
89,89,2,1,1,10722,C,0,C,0,11-1
